transliteration,meaning_en,meaning_ar,phnid,hieroglyphs
A,tread (?) (a place),يطأ (؟) (مكان)، يدوس (؟),1,
A,enclitic particle (with exclamatory force),أداة إسناد (بصيغة تعجب),1,𓄿
A,"vulture, bird (in general)",نسر، طائر,1,𓄿𓏤
AA,mound of ruins,تل من الأطلال، خرائب,1,𓄿𓄿𓈇𓏤
AAtA,nubian chieftain (?),زعيم نوبي (؟),1,𓄿𓄿𓏏𓄿𓂡𓀐
Aiw,windy,عاصف,1,𓄿𓇋𓏲𓊡
Ais,viscera,أحشاء، أمعاء,1,𓄿𓇋𓋴𓐎𓄿𓋴𓐎𓇋𓋴𓐎𓄿𓊃𓐎
Ais n Dnnt,brain (viscera of the scull),احشاء الجمجمة (المخ),1,
Ayt,blanch (?),يُبيِّض (؟)، يجعله شاحبًا (؟),1,𓄿𓇌𓏏𓅪𓄿𓏏𓀜
Aaa,speak in a foreign language,رطن، تكلم بلغة غير مفهومة، تكلم بلغة اجنبية,1,𓄿𓂝𓂝𓋮
Aaa,translator,مترجِم,1,𓄿𓂝𓂝𓍢𓋮𓀜
Aawt,container (for papyri),صندوق (للبردي),1,𓄿𓂝𓅱𓄛
Aabt,oppression,ظلم، قهر,1,𓄿𓂝𓃀𓏏𓅪𓄿𓂝𓃀𓏏𓄐𓅪𓏥
Aw,"faded, deceased",متوفى، شاحب,1,
Aw,"length (of space, of time)",طول (مسافة)، طول (مُدَّة),1,𓄫𓅱𓄫𓅱𓂢
Aw,"death, evil, damage",موت، شر، ضرر,1,𓄫𓍢𓏱𓄿𓏱𓏲
Aw,extended (deceased),مُمَدَد (متوفى),1,𓄫𓀐
Aw,"long (of space, of time)",طويل (للمسافة)، (وقت) طويل,1,𓄫𓅱𓄫𓅱𓏛𓄫𓏛
Aw,Joyful,بهيج، مبتهج,1,𓄫𓅱
Aw ib,"joyful, cheerful",مُبهِج، مُفرِح,1,
Aw Hr,farsighted,بعيد النظر,1,
Aw Drt,generous,سخي، كريم,1,
Awy,announce (someone),يعلن عن (شخص ما لـ),1,𓄫𓅱𓇌𓀜𓄿𓄫𓅱
Awy,"extended (the arm), present (an offering)",يبسط (ذراع)، يقدم (قرابين),1,𓄫𓅱𓇌𓀜𓄫𓍢𓂡
Awi,(be) long,(يكون) طويلا,1,𓄫𓅱𓀜𓏛
Awy,"extended (the arm), present (an offering), announce (someone), lay (hands on)",يبسط (ذراع)، يقدم (قرابين)، يعلن عن (شخص ما)، يضع (اليد على),1,𓄫𓅱𓇌𓀜𓄫𓍢𓂡𓄿𓄫𓅱𓄫𓅱𓅱
Awy-Drt,lay hands on,يضع يد على,1,𓄫𓅱𓇌𓀜𓂧𓏏𓏤
AwH,do violence (to),يعمل عنف (ضد),1,𓄫𓅱𓎛𓀜
Awt,long knife,سكين طويل,1,𓄫𓅱𓏏𓌪
Awt,"gifts, food",هدايا، طعام,1,𓄫𓏏𓏐𓏖𓏊
Awt,"gifts, oblations",هدايا، قرابين,1,𓄫𓏏𓅱𓈀𓄫𓏏𓄫𓏏𓏛𓏥
Awt,length (of time),طول ( للوقت),1,𓄫𓏏𓏛𓄫𓏏𓅱𓏛𓏛𓏛
Awt-ib,"happiness, joy",سعادة,1,𓄫𓅱𓏏𓄣𓏤
Awt-a,"elongate, gifts",يطَيل، هبات، هدايا، عطاء,1,𓄫𓅱𓏏𓂝𓏤
Awt-a,gifts,هدايا، هبات,1,𓄫𓅱𓏏𓂝𓏤𓏛𓏥
Awt Dt,"in the length of eternity, in perpetuity",إلى الأبد,1,
Ab,"stop, tarry, stay, cease, avoid",يتوقف، يَبقى، يتلكأ، يوقف، يتجنب,1,𓍋𓃀𓂻
AbAb,be delighted (?),يبتهج (؟),1,𓍋𓃀𓍋𓃀𓀁
Abi,"desire, wish for",يرغب، يتمنى,1,𓍋𓃀𓀁𓋁𓃀
Aby,"panther, leopard",فهد,1,𓍋𓃀𓇌𓃮𓍋𓃀𓇌𓃮𓄛𓍋𓃀𓃮𓃮
Abw,elephantine,جزيرة الفنتين,1,𓍋𓅱𓊖𓍋𓃀𓋭𓊖𓋭𓊖𓍋𓃀𓐎𓈉𓊖𓍋𓃀𓍢𓐎𓈉
Abw,ivory,عاج,1,𓍋𓃀𓅱𓌟𓍋𓃀𓌟𓋁𓃀𓅱𓈓𓌟𓍋𓃀𓅱𓄏
Abw,elephant,فيل,1,𓍋𓃀𓅱𓃰
Abw,scorch (knife),يجعل (السكين) حادا,1,𓍋𓃀𓅱𓌪
Abw,brand (slave or cattle),يكوي بالنار (عبد أو ماشية),1,𓍋𓃀𓅱𓊮𓍋𓃀𓅱𓌪
Abw,cessation,انقطاع، توقف,1,𓍋𓃀𓅱𓂻
Abwt,"shape, form",شكل، هيئة,1,𓍋𓃀𓅱𓏏𓀾𓋁𓍢𓏭𓀾
Abx,"unite (to), mix (into) (of compounding drugs), join (a god, the stars), link (?) (arms), mingle (with), be merged (in), engage (in battle)",يوَحد، يمزج (للأدوية المركبة)، يضم، يتحد بـ (إله - النجوم)، يختلط، يشتبك (في معركة)، يصل (؟) (الأذرع),1,𓍋𓃀𓐍𓂝𓍋𓃀𓐍𓏴𓏛𓋁𓃀𓐍𓏴𓍋𓐍𓃀𓏴𓏛𓄿𓃀𓐍
Abt,brand (n.),وسم بالنار,1,
Abt,bend,إلتواء، إنثناء,1,𓄿𓃀𓏏𓌛
Abt,"household, family",عائلة، أهل بيت,1,𓍋𓃀𓎷𓏏𓀀𓁐𓏥𓍋𓃀𓏏𓎷𓍋𓃀𓏏𓌪𓀀𓁐𓏥
Abd,monthly festival,احتفال شهري,1,𓇹𓇼𓂧𓎳𓇺𓇼𓂧𓇹𓇼𓂧𓏒
Abd,month,شهر,1,𓇹𓇼𓂧𓇳𓏤𓇺𓇼𓂧𓇳𓏤𓇺𓇹
AbDw,a fish,سمكة,1,𓍋𓃀𓈋𓅱𓆝𓋁𓃀𓂧𓆝
AbDw,Abydos (a town in Upper Egypt),أبيدوس (العرابة المدفونة),1,𓍋𓃀𓈋𓊖𓍋𓈋𓊖𓋁𓃀𓂧𓊖𓍋𓈋𓈈
AbDw,Abydos,أبيدوس,1,𓍋𓃀𓈋𓊖
Apd,rush forward,يندفع للأمام,1,𓄿𓊪𓂧𓂻
Apd,"goose, duck, bird (in general)",طائر، أوزة، بطة,1,𓄿𓊪𓂧𓅭𓅬𓅿
Afa,glutton,نَهِم، شرِه,1,𓄿𓆑𓂝𓃲𓀀
Afa,gluttony,نهَم، شراهة,1,𓄿𓆑𓂝𓃲
Afry,boil (vb.),يغلى,1,𓄿𓆑𓂝𓇌𓊮
Afd,part of animal’s leg,جزء من رجل حيوان,1,𓄿𓆑𓂧𓂾
Am,attack,يهاجم، ينقض,1,𓄿𓅓𓂡
Am,"burn up (trans.), burn (intrans.), burn (of brazier)",يحرق، يحترق، يحترق (من المجمرة),1,𓄿𓅓𓊮
Ami,"mix, compound",يخلط، يزيد,1,𓄿𓏇𓇋𓀜
Ama,a perching bird,طائر جاثم,1,𓄿𓅓𓂝𓅭
Amat,"ramus (of jaw), fork (of bone)",الفَك السفلي,1,𓄿𓅓𓂝𓏏𓂡𓄿𓅓𓂝𓅱𓏏𓂡𓄿𓅓𓂝𓏏𓂝
Amm,"seize (vb.), grasp (vb.), attack (someone), grasp (n.)",يمسك، يعانق، يهاجم (شخص)، مسكة,1,𓄿𓅓𓅓𓂬
Ammw,gripings (medical),مَسَّاكات (طبية),1,𓄿𓅓𓅓𓅱𓂝𓏥
Ammt,grasp (n.),قبضة، مسكة,1,𓄿𓅓𓅓𓏏𓂬
Ams,falsehood,كَذِب,1,𓄿𓄟𓋴𓅪𓏥
Ams,"care for, show solicitude",يعتنى بـ، يهتم بـ، يظهر التعاطف,1,𓄿𓄟𓋴𓃖
Ams,"a club, royal staff, mace, wield theAms",عصا، عصا ملكية، صولجان، يسيطر على عصا الـAms,1,𓄿𓄟𓋴𓌄
Ar,"drive away (from), hold back, restrain, oppress (the poor)",يَحجز، يوقف، يضطهد (الفقير)، يُبعد، يطرُد,1,𓄿𓂋𓌗𓀜𓇋𓂋𓌗𓂡𓄿𓇋𓂋𓌗𓀜
Aryt,"staff, stick",عصا,1,𓄿𓂋𓇌𓏏𓌃
Art,sky,سماء,1,𓄿𓂋𓏏𓇯
Ahy,descend,يهبط، ينزل، ينحدر,1,𓄿𓉔𓇋𓇋𓂻
Ahw,sufferer,شخص في معاناة (مرض، ظلم ...الخ),1,𓄿𓉔𓍢𓅪𓀀
Ahw,"misery, trouble, pain, injury, illness",بؤس، ضيق، هَم، حزن، ألم، إصابة,1,𓄿𓉔𓅱𓅪𓄿𓉔𓅪𓇋𓉔𓍢𓅪𓏥𓇋𓉔𓐎𓅪𓄿𓉔𓐎𓅪𓇋𓉔𓅪𓇋𓉔𓁣𓋞
Ahmt,sorrow,حزن، أسى,1,𓄿𓉔𓐝𓏏𓅪𓏥
Ahd,"quiver, palpitate, be weak (?), (be) feeble, faint",يرتجف، ينبض بسرعة، يضعف,1,𓄿𓉔𓂧𓅪𓄿𓉔𓂧𓀁
AH,kind of bread,نوع من الخبز او الفطائر,1,𓄿𓎛𓈀𓏥𓄿𓎛𓏒𓎛𓄿𓏒𓎛𓄿𓈀
AHt,"field, arable land, earth, mould",حقل، ارض صالحة للزراعة، أرض,1,𓄿𓎛𓏏𓈇𓎛𓄿𓏏𓈇𓎛𓄿𓏏𓈇𓈅
Ax,fame (?),شُهرة (؟),1,𓅜𓐍𓏛𓅜
Ax,become a spirit (vb.),يصبح روح (بعد الموت),1,𓅜𓐍𓏛𓅜
Ax,"glorious, splendid, be beneficial, useful, profitable, something advantageous, usefulness",مجيد، بديع، نافع، مريح، مفيد,1,𓅜𓐍𓏛𓅜
Ax,blessed spirit,روح مبارَكة,1,𓅜𓏤
Ax,the spirit-state (after death),حالة الروح (طبيعة المتوفى بعد الموت),1,𓅜𓏤𓄿𓐍𓏛
Ax,spirit,روح,1,𓅜𓐍𓀼𓅜𓏤𓀽𓅜𓄿𓐍𓅜𓐍
Ax,papyrus thicket,أحراش من البردى,1,𓄿𓐍𓇇
Ax,"Become Useful, Become an Akh-Spirit, Akh-Spirit, Useful (n.)",مفيد، روح,1,𓅜𓐍
Ax ib n,"be serviceably minded towards, well-disposed towards",مَيَّال نحو,1,
Ax-bit,Chemmis (place in Buto),خِمِّيس (الاسم اليوناني لمكان في بوتو- كوم الخبيزة),1,𓇇𓆤𓏏𓊖𓄿𓐍𓇇𓆤𓏏𓊖𓆤𓏏𓄿𓐍𓇇𓊖
Ax n(.i) m ib.f,i found favor in his heart,لقد وجدت نعمة (استحسانًا) في عينيه,1,
AxAx,spars (?) of ship,ساريات (؟) السفينة,1,𓄿𓐍𓄿𓐍𓆱𓏥
AxAx,stars,نجوم,1,𓄿𓐍𓄿𓐍𓇼𓇼𓇼
AxAx,grow green (of trees and plants),يخضَّر (للأشجار والنباتات),1,𓄿𓐍𓄿𓐍𓆰
Axyt,still-room (?),حجرة هادئة ساكنة؟,1,𓅜𓐍𓇌𓏏𓉐𓈌𓏏𓉐
Axw,"sunlight, sunshine",ضياء الشمس,1,𓄿𓐍𓅱𓇶𓇶𓅆𓇶𓅱𓀭𓅜𓐍𓇶𓇋𓄿𓐍𓅱𓇶
Axw,"power (of god, etc), mastery (over work)",قوة (الإله، ...الخ)، مهارة (في العمل),1,𓅜𓐍𓅱𓏛𓏥𓅜𓏛𓏥𓅜𓐍𓏛𓏥𓅜𓐍𓏛𓅜𓐍𓏥𓅱
Axwt,useful actions,أعمال نافعة,1,𓏏𓅜𓐍𓏥
Axf,fever (of appetite?),حُمَّى (الشهية؟),1,𓄿𓐍𓆑𓏛
Axfxf,be fiery (?) (of eye),يكون حارق ؟ (للعين)، يكون ناري ؟ (للعين),1,𓄿𓐍𓆑𓐍𓆑𓊮
Axt,eye (of god),عين (الإله),1,
Axt,horizon (tomb of king),افق (مقبرة ملك),1,𓅜𓏏𓈌𓉐
Axt,horizon (where sun rises and sets),أفق (حيث تشرق وتغرب الشمس),1,𓈌𓏏𓉐𓅜𓐍𓏏𓈀
Axt,flame,لهب، شعلة,1,𓅜𓐍𓏏𓊮
Axt,"the beneficent one (the eye of Re), eye (of god)",الخيِّر (عين الإله رع)، عين (الإله),1,𓅜𓐍𓏏𓁺
Axt,uraeus serpent,الصَل المقدس,1,𓅜𓐍𓏏𓆘𓅜𓏏𓆘
Axt,arable land,أرض صالحة للزراعة، حقل,1,𓏏𓅜𓐍𓈇𓏤𓐍𓅜𓏏𓈅𓈅𓅜𓏤
Axt,"what is good, useful, profitable",نافع، مُربِح,1,𓅜𓐍𓏏𓏛𓐍𓅜𓏏𓏥𓏏𓅜𓐍
Axt,inundation season,موسم الفيضان,1,𓆷𓐍𓏏𓆷𓏏𓇳𓄿𓆷𓐍𓏏
Axt Itn,"Akhetaten (lit. Horizon-of-Aten, modern Tell el-Amarna)",اخيتاتون (افق اتون، تل العمارنة),1,
Axty,"horizon-dweller (epithet of god), belonging to the horizon",ساكن الأفق (لقب للإله)، المنتمي للأفق,1,𓈌𓈌𓀭𓏏𓅜𓐍𓈀𓈀𓀭𓅜𓐍𓏏𓈀𓍘𓇋
Axtyw,"horizon-dwellers (epithet of gods), horizon-dwellers (remote people)",ساكني الأفق (لقب للإلهة)، ساكني الأفق (ناس بعيدة),1,𓄿𓐍𓅂𓈓𓈌𓏏𓉐𓅂𓀭𓏪𓈌𓏏𓅂
AXa,"scratch (vb.), scrape, carve, engrave",يخدش، ينقش، ينحت,1,𓄿𓄡𓂝𓂷𓄿𓄡𓂝𓂷𓂡
AXat,"scar (n.), scratch (n.)",خدش، ندبة، كشط,1,𓄿𓄡𓂝𓏏𓂷
AXb,swallow,يبلع,1,𓄿𓄡𓃀𓀁
As,"a type of cake, a type of bread",نوع من الكعك، نوع من الخبز,1,𓄿𓋴𓍬𓂻𓏒𓏥
As,bald-headed vulture,طائر العقاب الأصلع,1,𓄿𓋴𓅯
As,"hurry, flow fast (of water), hasten (oneself), hurrey (oneself), overtake, quickly",يتدفق بسرعة (للمياه)، يُسرِّع، يُسرِع، بسرعة,1,𓄿𓋴𓍬𓂻𓄿𓊃𓍬𓂻
As-ib,impatient,متعجل,1,𓄿𓋴𓍬𓂻𓄣𓏤
Asir,Osiris,اوزوريس,1,𓊨𓁹𓀭
Asb,"fierce (of radiance), glowing (of radiance)",(اشعاع) حاد، (اشعاع) متوهج,1,𓄿𓊃𓃀𓄁𓄿𓋴𓃀𓊮
Asbyw,flames,نيران,1,𓄿𓋴𓃀𓇌𓅱𓊮𓏪
Asrt,"heaven, sky",سماء,1,𓄿𓊃𓂋𓏏𓇯
Asx,reap,يحصد,1,𓄿𓊃𓐍𓌴𓂡𓄿𓋴𓐍𓌴𓄿𓋴𓐍𓂝
Asx,sickle,منجل,1,𓄿𓋴𓐍𓌴
Ast,Isis (name of a divinity),الإلهة إيزيس,1,𓊨𓏏𓆇𓊨𓏏𓁐𓄺𓏏𓁐𓄿𓊨𓏏𓁐𓊨𓏏𓅆
AS,the god of the Libyan desert,معبود الصحراء الليبية,1,𓄿𓈙𓈙𓄿
AS,a type of drink,نوع من الشراب,1,𓄿𓈙𓏲𓏊𓏥
ASr,"roast (vb.), roast meat (n.)",يشوي، لحم مشوي,1,𓄿𓈙𓂋𓊮
ASrt,roast joint,لحم مشوي,1,𓄿𓈙𓂋𓏏𓄹
Aq,"perish, come to grief",يهلك، يخفق، يفنى,1,𓄿𓈎𓅪
Aqw,"ruin (n.), misfortune",بَلِيَّة، خراب,1,𓄿𓈎𓍢𓅪𓏥𓄿𓈎𓅪
AqHw,battle-axe,بلطة قتال,1,𓄿𓈎𓎛𓅱𓌏
Aqs,a type of garment,نوع من الملابس,1,𓄿𓈎𓋴𓍱
Aqd,a star,نجم,1,𓄿𓈎𓂧𓇼𓀭
Ak,be bent (of elbow),منثنٍ (للكوع),1,𓄿𓎡𓂝
Akr,"(name of divinity) earth god Aker, the earth (itself)",آكر (إله الأرض)، الأرض,1,𓄿𓎡𓂋𓀭𓄿𓎡𓂋𓇿
